run_id,condition,status,steps,checkpoint_role,lambda_align,image_source,expected_prototypes,gene_mse,gene_correlation,image_to_gene_top1,image_to_gene_top5,gene_to_image_top1,gene_to_image_top5,label_top1,label_top5,silhouette,batch_mixing_entropy,prototype_usage_global,prototype_confidence_mean,pointer_errors
smoke_5case_full_m6_lambda_0_01_500,"L3 smoke Full M6 contour-store lambda=0.01, 5 cases, 500 steps",pass,500,best_alignment,0.01,contour_store,64,0.050639376044273376,0.8544746369603127,0.0026789131266743206,0.009184845005740528,0.0030616150019135095,0.016073478760045924,0.38920780711825487,0.7657864523536165,-0.2609547773996989,0.23815981454407875,43/64,0.04923537877020118,0
full_m6_contour_store_lambda_0_01_20k,"L3 Full M6 contour-store lambda=0.01, slide-holdout, 20k steps",pass,20000,best_alignment,0.01,contour_store,128,0.0004912661388516426,0.9987870327508658,0.9417355062347197,0.9756365815621191,0.9563297216679493,0.9811051559871696,0.06296011277657843,0.25774828213213113,-0.22801377375920615,0.23685846747106795,127/128,0.023651060600817623,0
gene_spatial_contour_unit_20k,"L3 Gene+Spatial contour-unit baseline, slide-holdout, 20k steps",pass,20000,best_loss,0.0,contour_store,0,0.000454858411103487,0.9988618589665678,3.40508992842501e-06,1.7025449642125047e-05,3.40508992842501e-06,1.7025449642125047e-05,0.12827654778362696,0.3904889028119233,-0.46659863988558453,0.21450725439821344,N/A,,0
